String,Count_1,Count_2,Encoded,Padded,Prob_1,Prob_2
Gy,485,515,2,"2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.485,0.515
GxGx,509,491,"1, 1","1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.509,0.491
GyGy,0,1000,"2, 2","2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGyGy,487,513,"2, 2, 2","2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.487,0.513
GyGyGxGx,534,466,"2, 2, 1, 1","2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.534,0.466
GxGxGy,500,500,"1, 1, 2","1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.5,0.5
GxGxGxGx,0,1000,"1, 1, 1, 1","1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGxGx,471,529,"2, 1, 1","2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.471,0.529
(Gi),1000,0,3,"3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(Gi)Gy,477,523,"3, 2","3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.477,0.523
(Gi)GxGx,497,503,"3, 1, 1","3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.497,0.503
GyGy(Gi),0,1000,"2, 2, 3","2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(Gi)Gy,487,513,"2, 2, 3, 2","2, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.487,0.513
GyGy(Gi)GxGx,483,517,"2, 2, 3, 1, 1","2, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.483,0.517
GxGx(Gi),491,509,"1, 1, 3","1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.491,0.509
GxGx(Gi)Gy,498,502,"1, 1, 3, 2","1, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.498,0.502
GxGx(Gi)GxGx,0,1000,"1, 1, 3, 1, 1","1, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gi),505,495,"2, 3","2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.505,0.495
Gy(Gi)Gy,0,1000,"2, 3, 2","2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gi)GxGx,469,531,"2, 3, 1, 1","2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.469,0.531
(Gx),879,121,1,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.879,0.121
(Gx)Gy,476,524,"1, 2","1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.476,0.524
(Gx)GxGx,151,849,"1, 1, 1","1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.151,0.849
GyGy(Gx),163,837,"2, 2, 1","2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.163,0.837
GyGy(Gx)Gy,515,485,"2, 2, 1, 2","2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.515,0.485
GyGy(Gx)GxGx,839,161,"2, 2, 1, 1, 1","2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.839,0.161
GxGx(Gx)Gy,510,490,"1, 1, 1, 2","1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.51,0.49
GxGx(Gx)GxGx,134,866,"1, 1, 1, 1, 1","1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.134,0.866
Gy(Gx),508,492,"2, 1","2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.508,0.492
Gy(Gx)Gy,0,1000,"2, 1, 2","2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gx)GxGx,516,484,"2, 1, 1, 1","2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.516,0.484
GyGy(Gy)Gy,1000,0,"2, 2, 2, 2","2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GyGy(Gy)GxGx,488,512,"2, 2, 2, 1, 1","2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.488,0.512
GxGx(Gy)Gy,549,451,"1, 1, 2, 2","1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.549,0.451
GxGx(Gy)GxGx,0,1000,"1, 1, 2, 1, 1","1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
(Gi)^2,1000,0,"3, 3","3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(Gi)^2Gy,488,512,"3, 3, 2","3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.488,0.512
(Gi)^2GxGx,498,502,"3, 3, 1, 1","3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.498,0.502
GyGy(Gi)^2,0,1000,"2, 2, 3, 3","2, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(Gi)^2Gy,502,498,"2, 2, 3, 3, 2","2, 2, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.502,0.498
GyGy(Gi)^2GxGx,509,491,"2, 2, 3, 3, 1, 1","2, 2, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.509,0.491
GxGx(Gi)^2,500,500,"1, 1, 3, 3","1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.5,0.5
GxGx(Gi)^2Gy,531,469,"1, 1, 3, 3, 2","1, 1, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.531,0.469
GxGx(Gi)^2GxGx,0,1000,"1, 1, 3, 3, 1, 1","1, 1, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gi)^2,485,515,"2, 3, 3","2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.485,0.515
Gy(Gi)^2Gy,0,1000,"2, 3, 3, 2","2, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gi)^2GxGx,494,506,"2, 3, 3, 1, 1","2, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.494,0.506
GyGy(Gx)^2Gy,506,494,"2, 2, 1, 1, 2","2, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.506,0.494
GyGy(Gx)^2GxGx,1000,0,"2, 2, 1, 1, 1, 1","2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GxGx(Gx)^2Gy,500,500,"1, 1, 1, 1, 2","1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.5,0.5
GxGx(Gx)^2GxGx,506,494,"1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.506,0.494
Gy(Gx)^2Gy,0,1000,"2, 1, 1, 2","2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gx)^2GxGx,494,506,"2, 1, 1, 1, 1","2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.494,0.506
GyGy(Gy)^2Gy,518,482,"2, 2, 2, 2, 2","2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.518,0.482
GyGy(Gy)^2GxGx,474,526,"2, 2, 2, 2, 1, 1","2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.474,0.526
GxGx(Gy)^2Gy,491,509,"1, 1, 2, 2, 2","1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.491,0.509
GxGx(Gy)^2GxGx,0,1000,"1, 1, 2, 2, 1, 1","1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
(Gi)^4,1000,0,"3, 3, 3, 3","3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(Gi)^4Gy,484,516,"3, 3, 3, 3, 2","3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.484,0.516
(Gi)^4GxGx,510,490,"3, 3, 3, 3, 1, 1","3, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.51,0.49
GyGy(Gi)^4,0,1000,"2, 2, 3, 3, 3, 3","2, 2, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(Gi)^4Gy,518,482,"2, 2, 3, 3, 3, 3, 2","2, 2, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.518,0.482
GyGy(Gi)^4GxGx,504,496,"2, 2, 3, 3, 3, 3, 1, 1","2, 2, 3, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.504,0.496
GxGx(Gi)^4,472,528,"1, 1, 3, 3, 3, 3","1, 1, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.472,0.528
GxGx(Gi)^4Gy,492,508,"1, 1, 3, 3, 3, 3, 2","1, 1, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.492,0.508
GxGx(Gi)^4GxGx,0,1000,"1, 1, 3, 3, 3, 3, 1, 1","1, 1, 3, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gi)^4,491,509,"2, 3, 3, 3, 3","2, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.491,0.509
Gy(Gi)^4Gy,0,1000,"2, 3, 3, 3, 3, 2","2, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gi)^4GxGx,474,526,"2, 3, 3, 3, 3, 1, 1","2, 3, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.474,0.526
GyGy(Gx)^4Gy,498,502,"2, 2, 1, 1, 1, 1, 2","2, 2, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.498,0.502
GyGy(Gx)^4GxGx,526,474,"2, 2, 1, 1, 1, 1, 1, 1","2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.526,0.474
GxGx(Gx)^4Gy,523,477,"1, 1, 1, 1, 1, 1, 2","1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.523,0.477
GxGx(Gx)^4GxGx,1000,0,"1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
Gy(Gx)^4Gy,0,1000,"2, 1, 1, 1, 1, 2","2, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gx)^4GxGx,489,511,"2, 1, 1, 1, 1, 1, 1","2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.489,0.511
GyGy(Gy)^4,0,1000,"2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(Gy)^4Gy,536,464,"2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.536,0.464
GyGy(Gy)^4GxGx,492,508,"2, 2, 2, 2, 2, 2, 1, 1","2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.492,0.508
GxGx(Gy)^4,512,488,"1, 1, 2, 2, 2, 2","1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.512,0.488
GxGx(Gy)^4Gy,487,513,"1, 1, 2, 2, 2, 2, 2","1, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.487,0.513
GxGx(Gy)^4GxGx,0,1000,"1, 1, 2, 2, 2, 2, 1, 1","1, 1, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gy)^4GxGx,492,508,"2, 2, 2, 2, 2, 1, 1","2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.492,0.508
GyGy(GxGxGy)Gy,537,463,"2, 2, 1, 1, 2, 2","2, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.537,0.463
GyGy(GxGxGy)GxGx,1000,0,"2, 2, 1, 1, 2, 1, 1","2, 2, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GxGx(GxGxGy)Gy,1000,0,"1, 1, 1, 1, 2, 2","1, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GxGx(GxGxGy)GxGx,514,486,"1, 1, 1, 1, 2, 1, 1","1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.514,0.486
Gy(GxGxGy)Gy,468,532,"2, 1, 1, 2, 2","2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.468,0.532
Gy(GxGxGy)GxGx,496,504,"2, 1, 1, 2, 1, 1","2, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.496,0.504
(GiGxGx)Gy,471,529,"3, 1, 1, 2","3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.471,0.529
(GiGxGx)GxGx,0,1000,"3, 1, 1, 1, 1","3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(GiGxGx)Gy,493,507,"2, 2, 3, 1, 1, 2","2, 2, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.493,0.507
GyGy(GiGxGx)GxGx,1000,0,"2, 2, 3, 1, 1, 1, 1","2, 2, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GxGx(GiGxGx)Gy,495,505,"1, 1, 3, 1, 1, 2","1, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.495,0.505
GxGx(GiGxGx)GxGx,500,500,"1, 1, 3, 1, 1, 1, 1","1, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.5,0.5
Gy(GiGxGx)Gy,0,1000,"2, 3, 1, 1, 2","2, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(GiGxGx)GxGx,494,506,"2, 3, 1, 1, 1, 1","2, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.494,0.506
(GiGyGx),475,525,"3, 2, 1","3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.475,0.525
(GiGyGx)Gy,0,1000,"3, 2, 1, 2","3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
(GiGyGx)GxGx,467,533,"3, 2, 1, 1, 1","3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.467,0.533
GyGy(GiGyGx),472,528,"2, 2, 3, 2, 1","2, 2, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.472,0.528
